crate_name,version,result
pin-project,,success
pin-project-internal,,success
pin-project-lite,,success
pkcs1,,failure
pkcs5,,failure
pkcs8,,failure
plotters,,failure
plotters-backend,,failure
plotters-svg,,failure
png,,success
polling,,success
poly1305,,failure
portable-atomic,,success
powerfmt,,success
ppv-lite86,,failure
predicates,,success
pretty_env_logger,,success
prettyplease,,success
primeorder,,failure
primitive-types,,failure
proc-macro-hack,,success
proc-macro-nested,,success
proc-macro2,,success
procfs,,failure
prometheus,,success
proptest,,success
prost-build,,failure
prost-derive,,failure
prost-types,,failure
psm,,failure
ptr_meta,,success
ptr_meta_derive,,success
publicsuffix,,success
pulldown-cmark,,success
pulldown-cmark-to-cmark,,success
pyo3,,failure
pyo3-build-config,,failure
pyo3-ffi,,failure
pyo3-macros,,failure
pyo3-macros-backend,,failure
quick-error,,success
quick-xml,,success
quinn,,success
quinn-proto,,success
quinn-udp,,success
quote,,success
radium,,success
radix_trie,,success
rand,,success
rand_chacha,,success
rand_core,,success
rand_distr,,success
rand_hc,,success
rand_isaac,,success
rand_jitter,,success
rand_os,,success
rand_pcg,,success
rand_xorshift,,success
rand_xoshiro,,success
raw-window-handle,,success
rawpointer,,success
rayon,,success
rayon-core,,success
rcgen,,success
rdrand,,failure
redis,,failure
ref-cast,,success
regex,,success
relative-path,,success
remove_dir_all,,success
rend,,success
reqwest,,success
reqwest-middleware,,success
resolv-conf,,failure
retain_mut,,success
rfc6979,,failure
rgb,,success
ring,,failure
rkyv,,success
rkyv_derive,,success
rmp-serde,,failure
rocksdb,,failure
ron,,success
rstest_macros,,success
rusqlite,,failure
rust_decimal,,failure
rustc-demangle,,success
rustc-hash,,success
rustc_version,,success
rusticata-macros,,success
rustix,,success
rustls,,success
rustls-pemfile,,success
rustls-pki-types,,success
rustls-webpki,,success
rustversion,,success
ryu,,success
schannel,,success
schemars,,success
schemars_derive,,success
scoped-tls,,success
scopeguard,,success
scratch,,success
sct,,success
sec1,,failure
security-framework-sys,,failure
semver,,success
semver-parser,,success
sentry-contexts,,success
seq-macro,,success
serde,,success
serde-hjson,,failure
serde-value,,success
serde-wasm-bindgen,,success
serde_bytes,,success
serde_derive,,success
serde_derive_internals,,success
serde_path_to_error,,success
serde_qs,,success
serde_repr,,success
serde_spanned,,success
serde_urlencoded,,success
serde_with,,success
serde_with_macros,,success
serde_yaml,,success
serial_test,,success
serial_test_derive,,success
sha-1,,failure
sha2,,failure
sha3,,failure
sharded-slab,,success
shlex,,success
signal-hook,,success
signature,,failure
simba,,success
simd-adler32,,success
similar,,success
simple_asn1,,success
simple_logger,,success
siphasher,,success
sized-chunks,,success
sketches-ddsketch,,success
slab,,success
slog,,success
smallvec,,failure
smartstring,,success
smawk,,success
snafu,,success
snafu-derive,,success
socket2,,success
spin,,success
spki,,failure
sqlparser,,success
sqlx,,failure
sqlx-macros,,failure
sqlx-macros-core,,failure
sqlx-mysql,,failure
sqlx-postgres,,failure
sqlx-sqlite,,failure
stable_deref_trait,,success
stacker,,success
standback,,failure
static_assertions,,success
string_cache,,success
string_cache_codegen,,success
strsim,,success
structopt,,success
structopt-derive,,success
strum,,success
swc_atoms,,failure
sync_wrapper,,success
synstructure,,success
sysinfo,,failure
system-configuration,,success
system-configuration-sys,,failure
tagptr,,success
take_mut,,success
tap,,success
tar,,success
tempdir,,success
tempfile,,success
tendril,,success
term,,success
termcolor,,success
terminal_size,,success
